song_title,artist,filename,id,youtube_code,peak,rms,new_p,new_r
(Everything I Do) I Do It For You,Bryan Adams,(Everything I Do) I Do It For You_Bryan Adams.mp4,283,La0IJPt0t4Q,-1.92,-16.67,0.01,-13.01
A Change Is Gonna Come,Sam Cooke,A Change Is Gonna Come_Sam Cooke.mp4,14,wEBlaMOmKV4,-1.90,-18.56,0.03,-13.03
A Day in the Life,Beatles The,A Day in the Life_Beatles The.mp4,30,usNsCeOV4GM,0.40,-16.12,0.03,-13.24
Against the Wind,Bob Seger,Against the Wind_Bob Seger.mp4,511,lB9sBvE254E,0.20,-18.30,0.03,-13.21
All of Me,John Legend,All of Me_John Legend.mp4,526,450p7goxZqg,,,,
All Too Well,Taylor Swift,All Too Well_Taylor Swift.mp4,490,r0yq_yXFQhg,-5.18,-18.40,-0.03,-13.00
Always Remember Us This Way,Lady Gaga,Always Remember Us This Way_Lady Gaga.mp4,488,6-Dci8X2Zvk,,,,
Angel,Sarah McLachlan,Angel_Sarah McLachlan.mp4,541,VLZ9Ike2Geo,0.16,-18.71,0.03,-13.39
Bad Guy,Billie Eilish,Bad Guy_Billie Eilish.mp4,530,DyDfgMOUjCI,,,,
Bleeding Love,Leona Lewis,Bleeding Love_Leona Lewis.mp4,528,Vzo-EL_62fQ,,,,
Blowin' in the Wind,Bob Dylan,Blowin' in the Wind_Bob Dylan.mp4,15,l9frfd97bMM,,,,
Bohemian Rhapsody,Queen,Bohemian Rhapsody_Queen .mp4,145,nEN5eeQbPL4,,,,
Bridge over Troubled Water,Simon and Garfunkel,Bridge over Troubled Water_Simon and Garfunkel.mp4,48,WrcwRt6J32o,,,,
Candle in the Wind,Elton John,Candle in the Wind_Elton John.mp4,184,OefdqK3jKi0,,,,
Careless Whisper,George Michael,Careless Whisper_George Michael.mp4,547,izGwDsrQ1eQ,,,,
Chan Fu,Ma Jiantao,Chan Fu_Ma Jiantao.mp4,515,GexT3LET3Ts,,,,
Cold Heart,Elton John,Cold Heart_Elton John.mp4,508,qod03PVTLqk,,,,
Comfortably Numb,Roger Waters,Comfortably Numb_Roger Waters.mp4,169,wpFo_E9Fq2k,-10.36,-29.48,-3.51,-13.99
Crazy,Patsy Cline,Crazy_Patsy Cline.mp4,85,YWKeuYcDAoo,,,,
Crazy,Patsy Cline,Crazy_Patsy Cline.mp4,100,VzV9QExGFQs,,,,
Dancing Queen,Abba,Dancing Queen_Abba .mp4,151,xFrGuyw1V8s,,,,
Desperado,Eagles The,Desperado_Eagles The.mp4,545,V_V_iEVjfzQ,,,,
Don't Stop Believin',Journey,Don't Stop Believin'_Journey .mp4,550,VcjzHMhBtf0,,,,
Don't Worry Be Happy,Bobby McFerrin,Don't Worry Be Happy_Bobby McFerrin.mp4,555,d-diB65scQU,,,,
Dreams,Fleetwood Mac,Dreams_Fleetwood Mac .mp4,527,v4fH2G0DclA,,,,
Dust in the Wind,Kansas,Dust in the Wind_Kansas .mp4,543,tH2w6Oxx0kQ,,,,
End Of The Road,Boyz II Men,End Of The Road_Boyz II Men .mp4,534,zDKO6XYXioc,,,,
Eternal Flame,The Bangles,Eternal Flame_The Bangles.mp4,509,YpGs0grxfvU,,,,
Every Breath You Take,Police The,Every Breath You Take_Police The.mp4,84,OMOGaugKpzs,,,,
Faded,Alan Walker,Faded_Alan Walker.mp4,498,yr8LpXvtrhQ,,,,
Family Affair,Mary J.Blige,Family Affair_Mary J.Blige.mp4,134,xag5RKD0VHk,,,,
Family Affair,Mary J.Blige,Family Affair_Mary J.Blige.mp4,531,znlFu_lemsU,,,,
Fast Car,Tracy Chapman,Fast Car_Tracy Chapman.mp4,146,JpscHOoGIqQ,,,,
Fire and Rain,James Taylor,Fire and Rain_James Taylor.mp4,317,EbD7lfrsY2s,,,,
Flowers,Miley Cyrus,Flowers_Miley Cyrus.mp4,491,Sok3OorM9w8,,,,
Forever Young,UNDRESSD,Forever Young_UNDRESSD .mp4,496,7c5S50Eh36k,,,,
Girl on Fire,Alicia Keys,Girl on Fire_Alicia Keys.mp4,529,J91ti_MpdHA,,,,
Girls Just Want To Have Fun,Cyndi Lauper,Girls Just Want To Have Fun_Cyndi Lauper.mp4,551,PIb6AZdTr-A,,,,
Hallelujah,Jeff Buckley,Hallelujah_Jeff Buckley.mp4,192,y8AWFf7EAc4,,,,
Here Comes The Sun,Beatles The,Here Comes The Sun_Beatles The.mp4,546,KQetemT1sWc,,,,
Hey Jude,Beatles The,Hey Jude_Beatles The.mp4,9,bkApuQWCPdM,,,,
Home,Michael Buble,Home_Michael Buble.mp4,521,1EfmsubBc-U,,,,
Hotel California,Eagles The,Hotel California_Eagles The.mp4,49,VgVa2ep-3AQ,,,,
How Do I Live,LeAnn Rimes,How Do I Live_LeAnn Rimes.mp4,540,MUFasKZcH_c,,,,
I Hate Myself for Loving You,Joan Jett and the Blackhearts,I Hate Myself for Loving You_Joan Jett and the Blackhearts .mp4,510,bpNw7jYkbVc,,,,
