,0,1,2,3,4,name,today_high,today_low,year_high,year_low
0,ACE,1.52,1.58,1.40,2.72,,,,,
1,ACE,1.52,1.58,1.40,2.72,,,,,
2,ACE,1.52,1.58,1.40,2.72,,,,,
3,ACE,1.52,1.58,1.40,2.72,,,,,
4,ACE,1.52,1.58,1.40,2.72,,,,,
5,ADVANC,213.00,215.00,194.00,231.00,,,,,
6,ADVANC,213.00,215.00,194.00,231.00,,,,,
7,ADVANC,213.00,215.00,194.00,231.00,,,,,
8,ADVANC,213.00,215.00,194.00,231.00,,,,,
9,ADVANC,213.00,215.00,194.00,231.00,,,,,
10,AEONTS,151.00,153.50,145.00,208.00,,,,,
11,AEONTS,151.00,153.50,145.00,208.00,,,,,
12,AEONTS,151.00,153.50,145.00,208.00,,,,,
13,AEONTS,151.00,153.50,145.00,208.00,,,,,
14,AEONTS,151.00,153.50,145.00,208.00,,,,,
15,AH,28.75,29.75,25.50,39.25,,,,,
16,AH,28.75,29.75,25.50,39.25,,,,,
17,AH,28.75,29.75,25.50,39.25,,,,,
18,AH,28.75,29.75,25.50,39.25,,,,,
19,AH,28.75,29.75,25.50,39.25,,,,,
20,AIE,1.36,1.39,1.16,3.12,,,,,
21,AIE,1.36,1.39,1.16,3.12,,,,,
22,AIE,1.36,1.39,1.16,3.12,,,,,
23,AIE,1.36,1.39,1.16,3.12,,,,,
24,AIE,1.36,1.39,1.16,3.12,,,,,
25,AIMIRT,10.60,10.70,10.00,12.50,,,,,
26,AIMIRT,10.60,10.70,10.00,12.50,,,,,
27,AIMIRT,10.60,10.70,10.00,12.50,,,,,
28,AIMIRT,10.60,10.70,10.00,12.50,,,,,
29,AIMIRT,10.60,10.70,10.00,12.50,,,,,
30,AIT,3.78,3.82,3.60,7.00,,,,,
31,AIT,3.78,3.82,3.60,7.00,,,,,
32,AIT,3.78,3.82,3.60,7.00,,,,,
33,AIT,3.78,3.82,3.60,7.00,,,,,
34,AIT,3.78,3.82,3.60,7.00,,,,,
35,AJ,6.35,6.50,6.10,14.10,,,,,
36,AJ,6.35,6.50,6.10,14.10,,,,,
37,AJ,6.35,6.50,6.10,14.10,,,,,
38,AJ,6.35,6.50,6.10,14.10,,,,,
39,AJ,6.35,6.50,6.10,14.10,,,,,
40,AMATA,22.10,23.10,19.40,27.25,,,,,
41,AMATA,22.10,23.10,19.40,27.25,,,,,
42,AMATA,22.10,23.10,19.40,27.25,,,,,
43,AMATA,22.10,23.10,19.40,27.25,,,,,
44,AMATA,22.10,23.10,19.40,27.25,,,,,
45,ANAN,0.83,0.85,0.70,1.49,,,,,
46,ANAN,0.83,0.85,0.70,1.49,,,,,
47,ANAN,0.83,0.85,0.70,1.49,,,,,
48,ANAN,0.83,0.85,0.70,1.49,,,,,
49,ANAN,0.83,0.85,0.70,1.49,,,,,
