name,prc_pct,tdy_price,avg_price,qty_pct,tdy_qty,avg_qty
PTTGC,1.47,24.1,23.75,24.33,31451402,25296157
SCC,1.46,209.0,206.0,7.54,2238650,2081757
DIF,0.54,9.3,9.25,50.96,7885630,5223654
GVREIT,0.39,6.5,6.475,77.66,476482,268195
RCL,0.0,25.75,25.75,22.36,2292073,1873239
3BBIF,-0.38,6.6,6.625,6.29,4703372,4424908
TVO,-0.41,24.0,24.1,97.77,1291093,652834
CPNREIT,-0.43,11.6,11.649999999999999,29.3,1077941,833682
SYNEX,-0.47,10.5,10.55,70.35,1172256,688160
WHAIR,-0.83,5.95,6.0,63.87,599782,366014
CPF,-0.91,21.7,21.9,159.33,32695208,12607354
WHART,-1.03,9.65,9.75,242.81,2031033,592466
SENA,-1.85,1.86,1.895,164.13,242608,91852
JMART,-2.11,8.1,8.275,15.88,4980783,4298400
ORI,-2.54,2.3,2.36,110.05,4493848,2139429
AH,-2.77,12.3,12.649999999999999,103.81,347657,170575
JMT,-2.91,10.0,10.3,88.59,11086141,5878349
PTG,-3.13,8.5,8.775,84.95,10040260,5428753
