name,date,price,high,low,volume,open
ACE,2025-03-21,1.29,1.3,1.28,677150,1.29
ADVANC,2025-03-21,268,268,261,10849375,266
AEONTS,2025-03-21,107,108.5,106.5,184444,107
AH,2025-03-21,12.7,12.9,12.5,195751,12.9
AIE,2025-03-21,1.4,1.5,1.4,16663252,1.46
AIMIRT,2025-03-21,10.5,10.6,10.4,96106,10.6
AIT,2025-03-21,4.58,4.66,4.58,1555852,4.64
AMATA,2025-03-21,22,22.1,21.7,5100837,21.9
ANAN,2025-03-21,0.63,0.71,0.63,40233527,0.71
AOT,2025-03-21,40,40.75,40,22859974,40.25
AP,2025-03-21,8.75,8.9,8.75,14323639,8.9
ASIAN,2025-03-21,8.05,8.2,8.0,870063,8.1
ASK,2025-03-21,7.45,7.55,7.4,446770,7.55
ASP,2025-03-21,1.98,2.0,1.98,1159214,1.99
ASW,2025-03-21,6.65,6.65,6.6,258887,6.6
AWC,2025-03-21,2.76,2.82,2.76,61771995,2.8
BA,2025-03-21,18.7,19.1,18.5,8469178,18.8
BAM,2025-03-21,6.5,6.65,6.4,20757867,6.65
BANPU,2025-03-21,4.48,4.5,4.4,45926488,4.4
BBL,2025-03-21,151,151,149,7772000,149.5
BCH,2025-03-21,14.9,15.3,14.5,15557510,15.2
BCP,2025-03-21,37.75,38,37.25,9522561,37.75
BCPG,2025-03-21,7.05,7.25,7,9460605,7.05
BDMS,2025-03-21,22.8,23.4,22.6,80153479,23.3
BEC,2025-03-21,3.76,3.82,3.76,127306,3.82
BEM,2025-03-21,5.55,5.6,5.45,50983207,5.5
BGRIM,2025-03-21,11.2,11.3,11,11833747,11.3
BH,2025-03-21,174.5,178,174,3328176,177
BJC,2025-03-21,21.6,21.6,21.3,1939134,21.4
BLA,2025-03-21,19.4,19.8,19.4,901765,19.7
BLAND,2025-03-21,0.46,0.46,0.45,14580631,0.45
BPP,2025-03-21,7.35,7.4,7.2,1297385,7.35
BTS,2025-03-21,5.45,5.7,5.45,60336798,5.65
BTSGIF,2025-03-21,2.84,2.86,2.84,1044900,2.84
CBG,2025-03-21,62.25,63,61.5,2566641,62.25
CENTEL,2025-03-21,31.75,32,30.75,3837485,30.75
CHG,2025-03-21,1.82,1.84,1.8,17436088,1.83
CK,2025-03-21,14.5,14.5,14.2,2226752,14.3
CKP,2025-03-21,2.66,2.66,2.58,7312814,2.64
COM7,2025-03-21,19.6,19.8,19.3,6474747,19.4
CPALL,2025-03-21,50.25,51.5,50.25,29194462,50.75
CPF,2025-03-21,24.1,24.1,23.5,40961210,23.7
CPN,2025-03-21,50.25,50.75,49.75,10118967,49.75
CPNCG,2025-03-21,6.05,6.15,6.05,1266201,6.05
CPNREIT,2025-03-21,12.5,12.5,12.2,4095726,12.3
CRC,2025-03-21,27,27.5,26.5,20303340,27.25
DELTA,2025-03-21,69,69.25,66.75,23392928,67.75
DIF,2025-03-21,8.1,8.1,7.95,8549282,8
DOHOME,2025-03-21,6.3,6.6,6.25,8085055,6.5
EA,2025-03-21,2.34,2.46,2.34,128676077,2.44
EASTW,2025-03-21,2.02,2.06,2,271915,2
EGATIF,2025-03-21,5.9,5.95,5.9,82920,5.9
EGCO,2025-03-21,95.25,95.5,94.5,1678483,95.25
EPG,2025-03-21,3.14,3.2,3.1,1748786,3.18
FORTH,2025-03-21,7.0,7.1,7.0,165213,7.1
FPT,2025-03-21,7,7.9,6.9,44301,7.9
FTREIT,2025-03-21,10.1,10.3,10.1,1110507,10.3
GFPT,2025-03-21,8.25,8.4,8.25,1321880,8.4
GLOBAL,2025-03-21,7.25,7.3,7.1,14955965,7.25
GPSC,2025-03-21,28.5,29,28.25,4817377,28.75
GUNKUL,2025-03-21,1.69,1.7,1.66,8685277,1.68
GVREIT,2025-03-21,6.7,6.75,6.5,489231,6.65
HANA,2025-03-21,16.8,17.1,16.7,5437104,17
HFT,2025-03-21,3.92,4.0,3.88,1239661,3.96
HMPRO,2025-03-21,8.2,8.2,7.85,42838502,7.95
HTC,2025-03-21,16.5,16.6,16.4,222543,16.5
ICHI,2025-03-21,12.6,12.8,12.5,4218199,12.6
III,2025-03-21,4.8,4.94,4.76,891756,4.92
ILM,2025-03-21,13.9,14.1,13.8,662316,14.1
IMPACT,2025-03-21,9.65,9.85,9.65,226891,9.8
INOX,2025-03-21,0.43,0.43,0.42,296702,0.43
IRPC,2025-03-21,0.97,1.03,0.97,151345464,1.01
IVL,2025-03-21,21.2,21.5,21,9339126,21.4
3BBIF,2025-03-21,5.7,5.7,5.6,6035454,5.7
JMART,2025-03-21,9.75,9.95,9.65,8426167,9.8
JMT,2025-03-21,13.8,14.5,13.7,18153112,14.3
KBANK,2025-03-21,164,164,161,12281433,161
KCE,2025-03-21,19.1,19.1,18.8,6669366,19
KEX,2025-03-21,1.1,1.49,1.06,73019318,1.47
KGI,2025-03-21,4.38,4.4,4.34,884135,4.34
KKP,2025-03-21,57.5,57.5,56,3228600,57
KSL,2025-03-21,1.46,1.49,1.45,468689,1.46
KTB,2025-03-21,24,24,23.4,145119901,23.7
KTC,2025-03-21,46.25,46.5,46,3956647,46.25
LALIN,2025-03-21,5.4,5.4,5.3,165414,5.3
LANNA,2025-03-21,15.3,15.4,15.3,252687,15.4
LH,2025-03-21,4.42,4.56,4.42,49926576,4.54
LHK,2025-03-21,3.28,3.28,3.26,13523,3.28
LPN,2025-03-21,2.06,2.18,2.06,21653819,2.18
