name,date,price,change,%change,open,high,low,volume,value(m)
ACE,2025-03-21,1.29,-0.02,-1.526718,1.29,1.3,1.28,677150,870.10708
ADVANC,2025-03-21,268,2,0.75188,266,268,261,10849375,2875251.144
AEONTS,2025-03-21,107,0.5,0.469484,107,108.5,106.5,184444,19790.3685
AH,2025-03-21,12.7,-0.2,-1.550388,12.9,12.9,12.5,195751,2495.7826
AIE,2025-03-21,1.4,-0.05,-3.448276,1.46,1.5,1.4,16663252,24223.56614
AIMIRT,2025-03-21,10.5,-0.1,-0.943396,10.6,10.6,10.4,96106,1009.213
AIT,2025-03-21,4.58,-0.04,-0.865801,4.64,4.66,4.58,1555852,7178.96704
AMATA,2025-03-21,22,0.1,0.456621,21.9,22.1,21.7,5100837,111951.85040000001
ANAN,2025-03-21,0.63,-0.08,-11.267606,0.71,0.71,0.63,40233527,26785.03472
AOT,2025-03-21,40,-0.5,-1.234568,40.25,40.75,40,22859974,918078.929
AP,2025-03-21,8.75,-0.15,-1.685393,8.9,8.9,8.75,14323639,126101.11240000001
ASIAN,2025-03-21,8.05,-0.1,-1.226994,8.1,8.2,8.0,870063,7023.0391
ASK,2025-03-21,7.45,-0.15,-1.973684,7.55,7.55,7.4,446770,3329.5373999999997
ASP,2025-03-21,1.98,-0.01,-0.502513,1.99,2.0,1.98,1159214,2300.37515
ASW,2025-03-21,6.65,0.05,0.757576,6.6,6.65,6.6,258887,1710.18975
AWC,2025-03-21,2.76,-0.02,-0.719424,2.8,2.82,2.76,61771995,171538.91804
BA,2025-03-21,18.7,0,0,18.8,19.1,18.5,8469178,158573.6455
BAM,2025-03-21,6.5,-0.1,-1.515152,6.65,6.65,6.4,20757867,135272.77825
BANPU,2025-03-21,4.48,0.08,1.818182,4.4,4.5,4.4,45926488,204664.02138
BBL,2025-03-21,151,2,1.342282,149.5,151,149,7772000,1165972.2965
BCH,2025-03-21,14.9,-0.4,-2.614379,15.2,15.3,14.5,15557510,230687.7478
BCP,2025-03-21,37.75,0,0,37.75,38,37.25,9522561,359839.85975
BCPG,2025-03-21,7.05,-0.15,-2.083333,7.05,7.25,7,9460605,67300.7473
BDMS,2025-03-21,22.8,-0.6,-2.564103,23.3,23.4,22.6,80153479,1833475.9357999999
BEC,2025-03-21,3.76,-0.06,-1.570681,3.82,3.82,3.76,127306,483.0772
BEM,2025-03-21,5.55,0.05,0.909091,5.5,5.6,5.45,50983207,282818.85675
BGRIM,2025-03-21,11.2,0,0,11.3,11.3,11,11833747,132083.7256
BH,2025-03-21,174.5,-3,-1.690141,177,178,174,3328176,582895.077
