name,date,price,change,%change,open,high,low,volume,value(m)
ACE,2025-08-04,1.3,0.0,0.0,1.3,1.3,1.29,1180997,1525.6201
ADVANC,2025-08-04,290.0,2.0,0.694444,289.0,290.0,287.0,3667159,1060230.875
AEONTS,2025-08-04,98.5,0.25,0.254453,99.0,99.0,97.25,165884,16264.20925
AH,2025-08-04,14.8,-0.2,-1.333333,15.0,15.0,14.5,149196,2191.1002000000003
AIE,2025-08-04,1.2,0.04,3.448276,1.16,1.2,1.16,1303634,1537.26879
AIMIRT,2025-08-04,9.8,-0.05,-0.507614,9.8,9.85,9.8,3920,38.482
AIT,2025-08-04,5.15,0.0,0.0,5.2,5.2,5.1,1690603,8657.00025
AMATA,2025-08-04,15.7,-0.6,-3.680982,16.3,16.3,15.6,27676093,437618.9398
ANAN,2025-08-04,0.42,0.0,0.0,0.42,0.43,0.41,1953101,819.73941
AOT,2025-08-04,39.75,0.25,0.632911,39.5,40.0,39.0,28782892,1139529.1345
AP,2025-08-04,7.25,0.0,0.0,7.25,7.35,7.05,10788268,78202.73545000001
ASIAN,2025-08-04,7.4,-0.05,-0.671141,7.4,7.45,7.35,422074,3123.74435
ASK,2025-08-04,7.7,0.1,1.315789,7.55,7.7,7.5,111947,852.1400500000001
ASP,2025-08-04,2.38,-0.06,-2.459016,2.46,2.46,2.36,459413,1102.18202
ASW,2025-08-04,6.5,0.05,0.775194,6.6,6.6,6.4,28712,184.7568
AWC,2025-08-04,2.06,0.02,0.980392,2.04,2.1,2.02,31461948,64783.8577
BA,2025-08-04,14.7,-0.6,-3.921569,15.3,15.3,14.3,20313017,297292.0947
BAM,2025-08-04,8.2,-0.2,-2.380952,8.35,8.4,8.05,16059950,131340.19259999998
BANPU,2025-08-04,4.94,0.02,0.406504,4.96,5.05,4.88,64160210,318275.29667
BBL,2025-08-04,148.0,-0.5,-0.3367,149.5,149.5,147.0,7034679,1040737.591
BCH,2025-08-04,13.9,0.2,1.459854,13.7,14.1,13.6,7326190,101650.2455
BCP,2025-08-04,33.75,0.0,0.0,33.75,34.0,33.0,3493909,117355.8925
BCPG,2025-08-04,6.5,0.0,0.0,6.5,6.5,6.35,4978643,32145.94855
BDMS,2025-08-04,21.2,0.3,1.435407,21.0,21.4,20.9,72569737,1539378.9900999998
BEC,2025-08-04,2.56,0.0,0.0,2.56,2.64,2.5,9145988,23557.26246
BEM,2025-08-04,5.4,0.0,0.0,5.35,5.4,5.25,35275274,188493.4112
BGRIM,2025-08-04,11.1,0.0,0.0,11.1,11.2,10.9,8984595,99398.9191
BH,2025-08-04,178.5,10.5,6.25,168.0,179.0,166.5,8523150,1497155.76027
BJC,2025-08-04,18.8,0.2,1.075269,18.7,18.9,18.5,2997345,56185.1681
BLA,2025-08-04,17.5,0.0,0.0,17.4,17.6,17.1,2339165,40838.451700000005
BLAND,2025-08-04,0.48,-0.02,-4.0,0.5,0.5,0.48,3959000,1931.109
BPP,2025-08-04,7.5,-0.05,-0.662252,7.55,7.55,7.4,3925968,29331.895800000002
BTS,2025-08-04,3.44,-0.02,-0.578035,3.48,3.48,3.4,85003838,292971.80448
BTSGIF,2025-08-04,2.62,0.0,0.0,2.62,2.64,2.62,2667358,6988.55912
CBG,2025-08-04,54.75,-0.25,-0.454545,55.5,55.5,54.0,2028024,111180.3965
CENTEL,2025-08-04,28.0,0.5,1.818182,28.0,28.25,27.25,2111401,58662.052
CHG,2025-08-04,1.77,0.06,3.508772,1.7,1.78,1.68,15888799,27506.559149999997
CK,2025-08-04,13.0,-0.2,-1.515152,13.2,13.2,12.8,3932942,50941.1811
CKP,2025-08-04,2.6,0.02,0.775194,2.58,2.62,2.52,5053584,13060.91056
COM7,2025-08-04,21.6,-0.4,-1.818182,22.1,22.2,21.4,8458258,183400.8715
CPALL,2025-08-04,45.75,1.0,2.234637,45.0,46.0,44.75,42378807,1927984.6685
CPF,2025-08-04,22.9,-0.5,-2.136752,23.3,23.3,22.7,17794005,407631.94139999995
CPN,2025-08-04,51.25,1.0,1.99005,50.75,51.75,50.5,3158857,161612.80175
CPNCG,2025-08-04,6.05,0.0,0.0,6.05,6.1,6.05,65403,395.9283
CPNREIT,2025-08-04,11.2,0.1,0.900901,11.2,11.3,11.1,688754,7678.6443
CRC,2025-08-04,20.6,0.2,0.980392,20.5,21.0,20.1,12255152,251629.48969999998
DELTA,2025-08-04,147.5,5.5,3.873239,143.5,148.0,142.0,16086218,2339705.22
DIF,2025-08-04,8.2,0.05,0.613497,8.15,8.2,8.15,4361345,35626.16285
DOHOME,2025-08-04,3.86,0.04,1.04712,3.86,3.92,3.78,21563620,83044.74442
EA,2025-08-04,2.78,-0.04,-1.41844,2.84,2.84,2.74,34693777,96457.89784
EASTW,2025-08-04,2.08,0.08,4.0,2.02,2.12,2.0,470406,970.31626
EGATIF,2025-08-04,5.9,-0.05,-0.840336,5.95,6.0,5.9,45741,272.331
EGCO,2025-08-04,110.5,1.5,1.376147,111.0,111.0,108.0,734162,80277.344
EPG,2025-08-04,2.76,-0.08,-2.816901,2.84,2.86,2.76,1679960,4685.81
FORTH,2025-08-04,7.25,0.2,2.836879,7.15,7.25,7.05,262555,1885.7701000000002
FPT,2025-08-04,6.1,0.0,0.0,6.15,6.15,6.1,11800,72.08
FTREIT,2025-08-04,9.3,-0.05,-0.534759,9.35,9.4,9.25,986398,9186.71645
GFPT,2025-08-04,9.8,-0.3,-2.970297,10.0,10.0,9.75,2931095,28876.1271
GLOBAL,2025-08-04,6.55,0.15,2.34375,6.5,6.6,6.25,13914999,89881.6903
GPSC,2025-08-04,32.25,-0.25,-0.769231,32.5,32.5,31.75,4174096,134344.78175
GUNKUL,2025-08-04,1.67,-0.04,-2.339181,1.72,1.72,1.64,17797888,29687.94944
GVREIT,2025-08-04,6.55,0.0,0.0,6.55,6.55,6.5,211220,1383.094
HANA,2025-08-04,22.5,-0.1,-0.442478,22.4,23.0,22.2,14550569,328522.112
HFT,2025-08-04,4.1,-0.14,-3.301887,4.12,4.12,4.0,578215,2363.8977999999997
HMPRO,2025-08-04,7.0,0.0,0.0,6.95,7.05,6.85,29580955,205561.61005000002
HTC,2025-08-04,15.3,0.1,0.657895,15.2,15.4,15.1,708067,10827.964199999999
ICHI,2025-08-04,11.0,0.1,0.917431,11.0,11.1,10.7,9647831,105322.7996
III,2025-08-04,4.64,0.0,0.0,4.68,4.68,4.64,472300,2194.572
ILM,2025-08-04,13.6,0.0,0.0,13.7,13.8,13.5,74062,1011.556
IMPACT,2025-08-04,9.7,0.05,0.518135,9.6,9.7,9.6,370112,3571.9908
IRPC,2025-08-04,1.0,0.01,1.010101,0.99,1.01,0.95,57144046,56355.812359999996
IVL,2025-08-04,22.7,0.3,1.339286,22.6,22.8,22.1,11944873,267726.7444
3BBIF,2025-08-04,6.1,0.05,0.826446,6.05,6.1,6.05,6180915,37465.13391
JMART,2025-08-04,7.35,0.0,0.0,7.4,7.45,7.2,8190716,60068.7874
JMT,2025-08-04,10.5,-0.1,-0.943396,10.7,10.8,10.4,13911505,147059.55240000002
KBANK,2025-08-04,162.5,2.0,1.246106,161.0,162.5,160.0,9683123,1563269.574
KCE,2025-08-04,23.6,-0.6,-2.479339,23.9,24.3,23.3,17071740,407240.3692
KEX,2025-08-04,1.48,0.0,0.0,1.48,1.49,1.48,1531323,2266.3781400000003
KGI,2025-08-04,3.86,-0.04,-1.025641,3.9,3.9,3.84,524055,2026.7483
KKP,2025-08-04,55.25,0.25,0.454545,55.0,55.25,54.25,1701497,93239.00575
KTB,2025-08-04,22.1,0.0,0.0,22.1,22.2,21.8,47818890,1051498.5516000001
KTC,2025-08-04,28.0,0.25,0.900901,28.0,28.25,27.5,16202976,452353.1155
LALIN,2025-08-04,4.92,0.02,0.408163,4.88,4.94,4.88,158774,779.3106
LANNA,2025-08-04,16.8,0.0,0.0,16.7,16.9,16.6,869405,14629.0311
LH,2025-08-04,3.82,0.0,0.0,3.84,3.84,3.76,17435359,66717.17315999999
LPN,2025-08-04,1.74,0.01,0.578035,1.73,1.74,1.71,439600,758.733
M,2025-08-04,22.2,-0.3,-1.333333,22.5,22.6,22.1,4211738,94057.5855
