name,date,price,high,low,volume,open
ACE,2025-02-14,1.27,1.28,1.26,960005,1.27
ADVANC,2025-02-14,299.0,304.0,295.0,9538567,303.0
AEONTS,2025-02-14,108.0,108.5,107.0,61730,108.0
AH,2025-02-14,14.0,14.1,14.0,26137,14.0
AIE,2025-02-14,0.74,0.75,0.74,143867,0.75
AIMIRT,2025-02-14,10.6,10.6,10.5,136232,10.6
AIT,2025-02-14,4.6,4.68,4.54,3181365,4.66
AMATA,2025-02-14,24.5,24.9,24.4,6334598,24.8
ANAN,2025-02-14,0.42,0.43,0.41,433426,0.42
AOT,2025-02-14,47.0,54.25,46.5,174982491,54.25
AP,2025-02-14,7.8,7.9,7.75,6916978,7.85
ASIAN,2025-02-14,6.95,7.0,6.85,239254,6.85
ASK,2025-02-14,7.6,7.75,7.55,476649,7.6
ASP,2025-02-14,2.3,2.3,2.28,176323,2.28
ASW,2025-02-14,7.5,7.65,7.5,482815,7.65
AWC,2025-02-14,3.04,3.06,2.98,32016625,3.0
BA,2025-02-14,19.5,19.8,19.4,4203290,19.5
BAM,2025-02-14,6.0,6.0,5.8,8900082,5.95
BANPU,2025-02-14,4.52,4.64,4.52,45712536,4.6
BBL,2025-02-14,151.0,152.0,150.5,5918040,151.5
BCH,2025-02-14,13.7,13.9,13.6,3088959,13.8
BCP,2025-02-14,38.0,38.5,37.25,17500141,37.75
BCPG,2025-02-14,7.1,7.15,6.95,14200409,7.05
BDMS,2025-02-14,22.4,22.7,22.2,46644755,22.4
BEC,2025-02-14,3.9,3.92,3.86,247041,3.9
BEM,2025-02-14,6.45,6.5,6.4,14015423,6.5
BGRIM,2025-02-14,13.0,13.3,12.7,32276143,12.8
BH,2025-02-14,175.0,177.0,175.0,2239928,175.0
BJC,2025-02-14,21.5,21.6,21.1,1890882,21.1
BLA,2025-02-14,19.1,19.5,19.0,1020226,19.5
BLAND,2025-02-14,0.5,0.5,0.49,2354100,0.5
BPP,2025-02-14,8.35,8.4,8.2,909793,8.2
BTS,2025-02-14,5.85,6.15,5.85,69643877,6.15
BTSGIF,2025-02-14,3,3,2.98,2920503,2.98
CBG,2025-02-14,70.0,71.0,69.5,1670355,71.0
CENTEL,2025-02-14,28.75,29.0,27.75,2060562,28.5
CHG,2025-02-14,2.12,2.16,2.1,8789273,2.12
CK,2025-02-14,15.4,15.5,15.2,1339935,15.5
CKP,2025-02-14,2.74,2.78,2.7,1782311,2.7
COM7,2025-02-14,21.2,21.6,21.1,6391472,21.4
CPALL,2025-02-14,49.75,50.5,49.5,35213816,50.0
CPF,2025-02-14,20.9,21.1,20.7,8516645,20.7
CPN,2025-02-14,48.75,52.0,48.75,27101730,51.75
CPNCG,2025-02-14,6.3,6.3,6.25,1457411,6.3
CPNREIT,2025-02-14,12.1,12.2,12,1324539,12.1
CRC,2025-02-14,34.5,34.75,34.0,6184049,34.0
DELTA,2025-02-14,113.0,117.0,112.0,16663915,116.5
DIF,2025-02-14,8.15,8.2,8.1,7994348,8.2
DOHOME,2025-02-14,6.1,6.4,6.1,10930399,6.2
EA,2025-02-14,2.64,2.76,2.5,157941267,2.52
EASTW,2025-02-14,2.1,2.14,2.1,723887,2.1
ECL,2025-02-14,0.92,0.92,0.9,425900,0.92
EGATIF,2025-02-14,5.95,6.0,5.9,2388700,6.0
EGCO,2025-02-14,100.5,101.5,98.75,933789,98.75
EPG,2025-02-14,3.14,3.14,3.0,2546505,3.08
FORTH,2025-02-14,7.95,8.1,7.85,176150,7.95
FPT,2025-02-14,7.2,7.2,7.15,21002,7.15
FTREIT,2025-02-14,10.1,10.3,10.1,1484098,10.2
GFPT,2025-02-14,8.3,8.65,8.2,2897190,8.6
GLOBAL,2025-02-14,8.1,8.1,7.8,22498935,8.0
GPSC,2025-02-14,27.5,28.0,26.75,12757680,27.0
