,name,shares,unit_cost,cost_amt,mkt_price,market_amt,dividend,div_amt,cost_pct,mkt_pct,profit,pft_pct,period
0,AH,1200,37.0,44400.0,13.9,16680.0,0.79,948.0,2.14,5.68,-27720.0,-62.43,1
2,AWC,9000,4.96,44640.0,2.36,21240.0,0.075,675.0,1.51,3.18,-23400.0,-52.42,1
10,JMART,6800,33.0,224400.0,9.75,66300.0,0.47,3196.0,1.42,4.82,-158100.0,-70.45,1
11,JMT,4200,55.5,233100.0,12.5,52500.0,0.52,2184.0,0.94,4.16,-180600.0,-77.48,1
25,TOA,1000,26.0,26000.0,14.0,14000.0,0.63,630.0,2.42,4.5,-12000.0,-46.15,1
1,AIMIRT,17500,10.6,185500.0,10.3,180250.0,0.85,14875.0,8.02,8.25,-5250.0,-2.83,2
5,CPNREIT,55000,18.0,990000.0,11.4,627000.0,0.7966,43813.0,4.43,6.99,-363000.0,-36.67,2
6,DIF,45000,12.7,571500.0,9.1,409500.0,0.8888,39996.0,7.0,9.77,-162000.0,-28.35,2
7,GVREIT,69000,7.75,534750.0,6.5,448500.0,0.8043,55496.7,10.38,12.37,-86250.0,-16.13,2
12,MCS,75000,15.312,1148400.0,8.4,630000.0,0.75,56250.0,4.9,8.93,-518400.0,-45.14,2
13,NER,27000,7.45,201150.0,4.3,116100.0,0.36,9720.0,4.83,8.37,-85050.0,-42.28,2
16,PTT,7500,32.0,240000.0,33.25,249375.0,2.2,16500.0,6.88,6.62,9375.0,3.91,2
20,SENA,105000,4.48,470400.0,1.95,204750.0,0.1112,11676.0,2.48,5.7,-265650.0,-56.47,2
24,TFFIF,20000,7.2,144000.0,6.15,123000.0,0.4532,9064.0,6.29,7.37,-21000.0,-14.58,2
27,WHAIR,50000,8.7,435000.0,6.05,302500.0,0.5461,27305.0,6.28,9.03,-132500.0,-30.46,2
28,WHART,20000,12.3,246000.0,9.7,194000.0,0.692,13840.0,5.63,7.13,-52000.0,-21.14,2
9,3BBIF,120000,10.1,1212000.0,6.5,780000.0,0.1546,18552.0,1.53,2.38,-432000.0,-35.64,3
3,BCH,4000,21.7,86800.0,13.1,52400.0,0.43,1720.0,1.98,3.28,-34400.0,-39.63,3
15,PTG,3600,11.4,41040.0,9.1,32760.0,0.35,1260.0,3.07,3.85,-8280.0,-20.18,3
18,RCL,27000,38.8,1047600.0,27.0,729000.0,2.5,67500.0,6.44,9.26,-318600.0,-30.41,3
22,STA,10000,30.0,300000.0,12.7,127000.0,1.0,10000.0,3.33,7.87,-173000.0,-57.67,3
23,SYNEX,17500,26.4,462000.0,12.5,218750.0,0.44,7700.0,1.67,3.52,-243250.0,-52.65,3
26,TVO,4000,24.9,99600.0,25.25,101000.0,1.73,6920.0,6.95,6.85,1400.0,1.41,3
4,CPF,10000,23.4,234000.0,22.2,222000.0,1.55,15500.0,6.62,6.98,-12000.0,-5.13,4
8,IVL,7200,40.0,288000.0,22.4,161280.0,0.7,5040.0,1.75,3.12,-126720.0,-44.0,4
14,ORI,50000,9.0,450000.0,2.82,141000.0,0.021,1050.0,0.23,0.74,-309000.0,-68.67,4
17,PTTGC,6000,64.75,388500.0,26.25,157500.0,0.5,3000.0,0.77,1.9,-231000.0,-59.46,4
19,SCC,600,405.0,243000.0,226.0,135600.0,5.0,3000.0,1.23,2.21,-107400.0,-44.2,4
21,SINGER,6000,24.8,148800.0,7.45,44700.0,0.0,0.0,0.0,0.0,-104100.0,-69.96,4
