name,target,max,min,buy,hold,sell
ACE,1.40,1.40,1.40,0,0,0
ADVANC,323.59,350.00,301.00,15,0,0
AEONTS,125.00,140.00,110.00,9,1,0
AH,14.33,16.00,12.20,2,6,0
AIMIRT,11.80,11.80,11.80,1,0,0
AMATA,22.91,35.00,14.00,12,1,2
ANAN,0.40,0.40,0.40,0,0,0
AOT,30.39,48.00,20.00,5,8,7
AP,9.41,12.00,7.50,13,3,0
ASIAN,7.30,7.30,7.30,0,0,0
ASK,6.39,7.38,5.90,1,1,1
ASW,7.10,7.60,6.60,1,1,0
AWC,3.00,5.00,2.20,4,3,0
BA,20.67,28.00,14.30,6,2,0
BAM,7.50,8.40,5.50,5,2,0
BANPU,9.22,30.00,4.70,2,4,0
BAY,24.35,25.00,23.70,0,0,0
BBL,163.94,196.00,119.00,11,3,2
BCH,18.18,21.70,14.20,18,2,0
BCP,40.01,47.00,32.00,12,3,1
BCPG,8.59,12.00,7.60,11,1,0
BDMS,30.53,36.00,21.80,19,2,0
BE8,8.87,11.60,5.80,1,4,1
BEC,3.91,4.70,2.50,3,0,0
BEM,8.73,11.00,7.30,13,0,0
BGRIM,13.49,22.00,10.00,7,7,2
BH,188.60,244.00,145.00,7,7,1
BJC,27.05,32.00,23.00,13,1,0
BLA,25.00,25.00,25.00,1,0,0
BPP,8.96,10.00,8.25,3,0,0
BTS,5.25,6.49,3.50,1,7,0
BTSGIF,3.12,3.40,2.75,1,2,0
CBG,72.53,97.00,50.50,13,2,1
CENTEL,32.45,40.00,29.00,14,1,0
CHG,2.35,3.40,1.72,9,1,0
CK,20.16,24.00,16.80,14,0,0
CKP,3.83,5.00,3.30,11,0,0
COM7,26.96,30.00,19.80,9,1,0
CPALL,67.17,83.00,45.75,17,2,0
CPF,29.26,35.00,21.00,13,3,0
CPN,71.78,83.00,55.00,10,1,0
CPNREIT,12.02,12.50,10.50,2,3,0
CRC,24.13,40.00,18.00,8,6,1
DCC,1.79,1.80,1.77,0,0,0
DELTA,90.38,160.00,66.00,3,2,11
DIF,9.98,11.40,8.70,4,0,0
DOHOME,4.35,10.00,2.12,6,3,7
EGCO,118.30,130.00,106.50,8,1,1
EPG,3.16,4.00,2.50,4,3,0
FPT,9.60,9.60,9.60,1,0,0
FTREIT,11.50,12.50,10.60,3,0,0
GFPT,12.06,13.80,9.20,12,4,0
GGC,4.50,4.50,4.50,0,0,0
GLOBAL,6.86,10.00,4.86,3,10,2
GPSC,37.28,45.00,31.00,12,5,0
GUNKUL,2.91,5.00,2.00,8,0,0
GVREIT,6.80,6.80,6.80,0,0,0
HANA,19.73,22.00,17.00,2,9,2
HMPRO,8.87,13.10,5.35,8,4,4
HTC,18.00,18.00,18.00,1,0,0
ICHI,11.81,13.00,10.80,3,4,0
III,6.70,7.10,6.00,3,0,0
ILM,15.65,18.10,13.20,1,0,0
IMPACT,11.47,12.30,10.90,1,2,0
IRPC,0.95,1.50,0.68,2,6,6
IVL,23.90,30.00,18.00,11,5,1
3BBIF,6.70,7.80,5.80,2,2,0
JMART,10.90,10.90,10.90,0,0,0
JMT,12.05,14.00,10.20,0,3,0
KBANK,170.27,186.00,142.00,6,8,1
KCE,18.15,23.00,13.50,3,5,7
KKP,53.82,60.00,45.00,7,9,1
KTB,24.68,26.00,22.50,15,1,0
KTC,33.62,50.00,18.00,9,3,1
LH,4.59,5.80,3.50,4,7,2
LPN,1.75,2.30,1.10,2,1,5
M,17.55,20.00,15.70,1,3,0
MAJOR,12.75,14.80,9.00,5,3,0
MC,12.90,13.10,12.60,3,0,0
MEGA,32.60,37.00,26.00,4,3,0
MINT,33.21,38.60,26.50,12,3,0
MTC,52.47,65.00,32.00,16,0,0
NER,5.67,6.40,4.50,7,3,0
ONEE,2.30,2.70,1.90,1,1,3
OR,14.69,19.40,11.40,7,5,5
ORI,2.10,2.90,1.42,3,3,3
OSP,19.02,24.00,13.70,12,4,1
PLANB,7.26,9.35,5.80,11,1,0
PRM,9.29,11.80,8.20,7,0,0
PSH,4.07,5.00,3.20,0,2,0
PSL,5.65,6.80,4.50,0,2,0
PTG,8.33,11.00,6.40,9,5,0
PTT,34.29,41.00,27.00,7,5,1
PTTEP,133.68,169.00,112.50,15,4,1
PTTGC,22.25,29.00,16.00,9,3,6
QH,1.61,2.00,1.32,2,7,2
RATCH,32.41,40.00,25.00,4,4,0
RBF,4.68,5.04,4.20,1,2,0
RCL,25.70,27.00,24.40,0,0,0
RJH,14.25,15.00,13.50,0,0,0
ROJNA,6.80,6.80,6.80,1,0,0
SAPPE,36.52,40.00,31.50,4,7,2
SAT,13.28,16.70,11.40,4,4,0
SAWAD,24.78,37.00,19.00,8,7,1
SC,2.25,2.69,1.90,6,2,1
SCB,128.73,145.00,109.00,8,7,0
SCC,174.06,252.00,115.00,8,3,5
SCCC,191.00,195.00,185.00,3,0,0
SCGP,18.13,29.00,12.00,8,6,3
SIRI,1.68,2.20,1.20,8,6,0
SIS,23.00,23.00,23.00,0,0,0
SJWD,10.85,14.00,7.70,6,2,0
SKR,10.30,10.30,10.30,1,0,0
SPALI,16.11,20.00,14.00,7,8,2
SPRC,6.84,9.35,5.25,13,4,0
