name,target,max,min,buy,hold,sell
ACE,1.40,1.40,1.40,0,0,0
ADVANC,329.05,350.00,301.00,14,1,0
AEONTS,125.00,140.00,110.00,9,1,0
AH,14.63,16.00,13.40,2,5,0
AIMIRT,11.80,11.80,11.80,1,0,0
AMATA,22.63,35.00,14.90,12,2,2
ANAN,0.40,0.40,0.40,0,0,0
AOT,31.88,48.00,23.50,2,9,8
AP,9.37,11.80,7.50,13,2,0
ASIAN,6.70,6.70,6.70,0,0,0
ASK,6.39,7.38,5.90,1,0,0
ASW,7.10,7.60,6.60,1,1,0
AWC,3.17,5.00,2.30,4,1,0
BA,18.93,23.50,14.10,5,2,0
BAM,8.31,10.00,6.85,3,5,1
BANPU,4.88,5.50,4.20,1,2,2
BAY,24.57,25.00,23.70,1,2,0
BBL,163.00,196.00,119.00,11,4,2
BCH,17.99,21.70,14.20,17,3,0
BCP,39.11,47.00,32.00,13,4,1
BCPG,8.92,12.00,7.80,11,0,0
BDMS,29.37,34.20,20.00,17,4,0
BE8,7.65,11.60,5.80,1,2,1
BEC,3.31,4.70,2.50,2,1,0
BEM,8.71,12.09,7.30,15,0,0
BGRIM,13.49,22.00,10.00,7,7,2
BH,201.37,244.00,150.00,11,6,2
BJC,24.66,32.00,20.00,10,5,0
BLA,22.00,22.00,22.00,1,0,0
BPP,9.67,10.00,9.00,2,1,0
BTS,5.12,6.49,3.50,1,7,0
BTSGIF,3.02,3.40,2.45,1,2,0
CBG,70.52,97.00,50.50,14,0,0
CENTEL,32.86,40.00,29.00,10,4,0
CHG,2.32,2.94,1.72,9,1,0
CK,19.85,23.50,16.80,14,0,0
CKP,3.85,5.00,3.30,10,0,0
COM7,26.61,30.00,19.80,7,1,0
CPALL,66.21,80.00,45.75,16,2,0
CPF,29.51,38.00,21.00,13,3,0
CPN,69.47,83.00,55.00,14,0,0
CPNREIT,12.50,12.50,12.50,2,1,0
CRC,24.54,48.00,16.50,8,5,3
DCC,1.52,1.64,1.43,0,0,0
DELTA,106.76,170.00,65.00,3,2,12
DIF,9.95,11.40,8.60,4,0,0
DOHOME,4.24,10.00,2.12,3,4,8
EGATIF,5.75,5.75,5.75,0,0,0
EGCO,124.36,155.00,106.50,9,1,1
EPG,3.43,4.30,2.50,4,3,0
FPT,9.80,9.80,9.80,2,0,0
FTREIT,11.60,12.60,10.60,2,0,0
GFPT,12.29,15.50,9.20,9,5,0
GGC,4.20,4.20,4.20,0,0,0
GLOBAL,6.44,10.00,4.00,4,6,3
GPSC,40.21,56.00,31.00,11,6,0
GUNKUL,2.96,5.00,2.00,7,0,0
GVREIT,6.80,6.80,6.80,0,0,0
HANA,20.15,25.00,17.00,2,11,2
HMPRO,8.37,13.10,5.35,10,4,3
HTC,18.00,18.00,18.00,1,0,0
ICHI,11.81,13.00,10.80,2,5,0
III,6.27,7.00,5.80,3,0,0
ILM,15.76,18.10,11.50,2,0,0
IMPACT,11.47,12.30,10.90,1,2,0
IRPC,0.97,1.50,0.67,2,7,5
IVL,23.37,28.00,18.00,8,5,2
3BBIF,6.60,7.80,5.80,1,3,0
JMART,10.90,10.90,10.90,0,0,0
JMT,10.90,13.50,7.50,1,3,1
KBANK,171.56,192.00,142.00,7,8,1
KCE,21.90,30.00,13.50,4,6,6
KKP,53.49,60.00,45.00,6,9,1
KTB,25.67,30.00,22.50,17,0,0
KTC,33.62,50.00,18.00,9,3,1
LH,4.46,5.80,3.50,4,7,1
LPN,1.89,2.30,1.50,1,1,2
M,16.73,18.50,15.70,0,0,0
MAJOR,12.75,14.80,9.00,5,3,0
MC,12.85,13.10,12.60,2,0,0
MEGA,32.07,36.00,26.00,3,3,1
MINT,32.73,38.60,26.50,13,3,0
MST,6.50,6.50,6.50,0,0,0
MTC,50.13,65.00,32.00,14,1,1
NER,5.66,6.40,4.50,6,3,0
ONEE,2.50,2.70,1.90,1,3,1
OR,15.24,20.00,12.00,9,3,5
ORI,2.06,2.90,1.55,2,4,3
OSP,19.92,24.00,13.70,13,4,1
PLANB,7.13,9.35,5.80,12,1,0
PRM,9.29,11.80,8.20,7,0,0
PSH,4.35,5.00,3.50,0,2,0
PSL,6.60,7.10,5.40,2,1,1
PTG,8.79,11.00,6.90,12,2,0
PTT,34.75,39.00,32.50,9,7,0
PTTEP,135.39,169.00,112.50,13,4,0
PTTGC,22.62,28.00,16.00,8,3,7
QH,1.55,2.00,1.30,2,9,1
RATCH,31.81,36.00,25.00,5,4,0
RBF,4.15,4.80,3.80,0,0,0
RCL,26.30,28.20,24.40,0,0,0
RJH,14.70,15.00,14.40,0,0,0
ROJNA,7.70,8.60,6.80,2,0,0
SAPPE,37.71,43.50,31.50,3,8,2
SAT,13.53,16.70,11.40,3,5,0
SAWAD,24.48,37.00,20.00,8,7,1
SC,2.25,2.69,1.90,6,3,0
SCB,130.14,145.00,112.00,8,6,0
SCC,191.77,252.00,128.00,7,2,5
SCCC,191.00,195.00,185.00,3,0,0
SCGP,19.59,29.00,12.00,8,7,3
SIRI,1.65,2.20,1.20,8,6,0
SIS,23.00,23.00,23.00,0,0,0
SJWD,11.73,14.00,10.00,6,1,0
SKR,10.30,10.30,10.30,1,0,0
SPALI,15.97,20.00,14.00,6,8,2
SPRC,6.41,9.10,5.00,11,5,1
SSP,4.85,5.00,4.70,1,0,0
STA,17.22,20.00,15.00,4,2,0
STANLY,203.18,214.00,185.00,3,0,0
STGT,9.08,9.90,7.60,3,1,0
SUPEREIF,5.35,5.35,5.35,0,0,0
SVI,5.73,6.80,4.70,0,5,0
SYNEX,13.76,16.00,12.00,4,0,0
TASCO,17.22,19.40,16.30,6,0,0
TCAP,54.13,57.00,50.00,3,5,0
TFFIF,7.50,7.50,7.50,1,0,0
TFG,6.15,7.20,5.00,7,2,0
THANI,1.72,2.05,1.41,3,3,2
THG,6.75,7.70,5.80,0,0,0
TISCO,97.47,108.00,83.00,2,11,2
TKN,6.37,6.70,6.00,1,2,0
TMT,3.50,3.50,3.50,0,0,0
TOA,15.80,19.80,12.80,2,2,0
TOP,33.76,44.00,23.00,8,7,3
TPIPP,2.50,2.50,2.50,0,0,0
TQM,20.08,24.30,16.00,2,2,0
TRUE,14.59,18.00,12.20,10,2,0
TTA,4.46,4.52,4.40,1,0,0
TTB,2.00,2.22,1.70,4,9,2
TTW,9.88,10.50,8.70,3,3,0
TU,12.82,17.40,9.25,9,6,1
TVO,27.45,30.00,26.60,4,0,0
VGI,1.99,2.21,1.54,0,3,0
WHA,4.15,5.30,3.01,12,1,2
WHAIR,7.23,8.60,6.10,4,0,0
WHART,10.95,11.00,10.90,2,0,0
WHAUP,4.54,5.10,4.05,5,0,0
WICE,3.45,4.30,2.60,1,0,0
WORK,4.80,4.80,4.80,0,0,0
