name,fm_date,to_date,fm_price,to_price,qty,max_price,min_price,percent,status
TFFIF,2025-03-18,2025-03-19,6.2,6.15,14932448,6.2,6.1,-0.81,B
KCE,2025-03-19,2025-03-19,18.9,19.0,27481522,19.5,18.6,0.53,B
STA,2025-03-18,2025-03-19,14.9,15.0,13917228,15.1,14.6,0.67,B
SENA,2025-03-13,2025-03-19,2.12,2.14,3398792,2.14,2.1,0.94,B
AIMIRT,2025-03-14,2025-03-19,10.5,10.6,900800,10.6,10.4,0.95,B
NER,2025-03-19,2025-03-19,4.84,4.9,7801396,4.9,4.84,1.24,B
MCS,2025-03-19,2025-03-19,7.15,7.3,1528836,7.3,7.15,2.1,B
DIF,2025-03-14,2025-03-19,7.85,8.05,35288384,8.05,7.8,2.55,B
RCL,2025-03-13,2025-03-19,23.5,24.2,54567248,24.3,23.5,2.98,B
GVREIT,2025-03-18,2025-03-19,6.55,6.75,1772052,6.75,6.5,3.05,B
WHAIR,2025-03-14,2025-03-19,5.5,5.7,5783360,5.7,5.45,3.64,B
JMART,2025-03-19,2025-03-19,9.4,9.75,30788380,9.8,9.4,3.72,B
CPNREIT,2025-03-13,2025-03-19,11.8,12.3,23723656,12.3,11.6,4.24,B
3BBIF,2025-03-14,2025-03-19,5.55,5.8,62460288,5.8,5.45,4.5,B
BCH,2025-03-14,2025-03-19,15.9,15.4,56298184,16.1,15.4,-3.14,S
PTG,2025-03-19,2025-03-19,6.75,6.8,9837160,6.85,6.7,0.74,S
SYNEX,2025-03-19,2025-03-19,11.7,11.8,702242,11.8,11.5,0.85,S
AWC,2025-03-19,2025-03-19,2.76,2.82,623268136,2.96,2.76,2.17,S
PTTGC,2025-03-19,2025-03-19,18.1,18.9,237818816,19.3,17.6,4.42,S
TVO,2025-03-17,2025-03-19,21.8,22.9,16641532,23.5,21.7,5.05,S
