name,fm_date,to_date,fm_price,to_price,qty,max_price,min_price,percent,status,price,change,volume,date
3BBIF,2025-03-14,2025-03-19,5.55,5.8,62460288,5.8,5.45,4.5,B,5.7,-0.1,6700922,2025-03-20
AIMIRT,2025-03-14,2025-03-19,10.5,10.6,900800,10.6,10.4,0.95,B,10.6,0.0,186100,2025-03-20
AWC,2025-03-19,2025-03-19,2.76,2.82,623268136,2.96,2.76,2.17,S,2.78,-0.04,67074954,2025-03-20
BCH,2025-03-14,2025-03-19,15.9,15.4,56298184,16.1,15.4,-3.14,S,15.3,-0.1,5958274,2025-03-20
CPNREIT,2025-03-13,2025-03-19,11.8,12.3,23723656,12.3,11.6,4.24,B,12.3,0.0,1964829,2025-03-20
DIF,2025-03-14,2025-03-19,7.85,8.05,35288384,8.05,7.8,2.55,B,8.0,-0.05,6852007,2025-03-20
GVREIT,2025-03-18,2025-03-19,6.55,6.75,1772052,6.75,6.5,3.05,B,6.75,0.0,145701,2025-03-20
JMART,2025-03-19,2025-03-19,9.4,9.75,30788380,9.8,9.4,3.72,B,9.8,0.05,17031920,2025-03-20
KCE,2025-03-19,2025-03-19,18.9,19.0,27481522,19.5,18.6,0.53,B,18.9,-0.1,6879343,2025-03-20
MCS,2025-03-19,2025-03-19,7.15,7.3,1528836,7.3,7.15,2.1,B,7.25,-0.05,110439,2025-03-20
NER,2025-03-19,2025-03-19,4.84,4.9,7801396,4.9,4.84,1.24,B,4.94,0.04,6633758,2025-03-20
PTG,2025-03-19,2025-03-19,6.75,6.8,9837160,6.85,6.7,0.74,S,6.9,0.1,3444620,2025-03-20
PTTGC,2025-03-19,2025-03-19,18.1,18.9,237818816,19.3,17.6,4.42,S,18.7,-0.2,46786119,2025-03-20
RCL,2025-03-13,2025-03-19,23.5,24.2,54567248,24.3,23.5,2.98,B,23.8,-0.4,2444013,2025-03-20
SENA,2025-03-13,2025-03-19,2.12,2.14,3398792,2.14,2.1,0.94,B,2.16,0.02,228122,2025-03-20
STA,2025-03-18,2025-03-19,14.9,15.0,13917228,15.1,14.6,0.67,B,14.9,-0.1,6324340,2025-03-20
SYNEX,2025-03-19,2025-03-19,11.7,11.8,702242,11.8,11.5,0.85,S,11.7,-0.1,597532,2025-03-20
TFFIF,2025-03-18,2025-03-19,6.2,6.15,14932448,6.2,6.1,-0.81,B,6.2,0.05,1816528,2025-03-20
TVO,2025-03-17,2025-03-19,21.8,22.9,16641532,23.5,21.7,5.05,S,22.5,-0.4,342892,2025-03-20
WHAIR,2025-03-14,2025-03-19,5.5,5.7,5783360,5.7,5.45,3.64,B,5.7,0.0,142196,2025-03-20
