name,fm_date,to_date,fm_price,to_price,qty,max_price,min_price,percent,status,price,change,volume,date
AIMIRT,2025-08-22,2025-08-22,9.55,9.55,41400,9.6,9.55,0.0,B,9.7,0.15,180935,2025-08-25
CPF,2025-08-22,2025-08-22,24.3,24.3,16229198,24.5,24.0,0.0,B,24.2,-0.1,13263173,2025-08-25
DIF,2025-08-21,2025-08-22,8.2,8.2,12794138,8.2,8.1,0.0,S,8.25,0.05,7330513,2025-08-25
GVREIT,2025-08-21,2025-08-22,6.35,6.4,1097507,6.4,6.25,0.79,B,6.45,0.05,282053,2025-08-25
IVL,2025-08-22,2025-08-22,22.8,22.8,26354872,23.2,22.6,0.0,S,23.3,0.5,24588632,2025-08-25
JMART,2025-08-22,2025-08-22,8.35,8.35,7840481,8.55,8.35,0.0,B,8.6,0.25,21677743,2025-08-25
JMT,2025-08-21,2025-08-22,11.4,11.4,20103870,11.7,11.2,0.0,B,12.2,0.8,31135734,2025-08-25
MCS,2025-08-22,2025-08-22,8.45,8.45,521150,8.65,8.35,0.0,S,8.55,0.1,744512,2025-08-25
NER,2025-08-14,2025-08-22,4.52,4.3,44260178,4.6,4.24,-4.87,S,4.34,0.04,3838391,2025-08-25
ORI,2025-08-21,2025-08-22,2.26,2.26,19851426,2.36,2.2,0.0,B,2.28,0.02,22151597,2025-08-25
PTG,2025-08-22,2025-08-22,7.15,7.15,4457481,7.25,6.95,0.0,S,7.35,0.2,8077910,2025-08-25
PTT,2025-08-20,2025-08-22,32.0,32.0,154139483,32.25,31.75,0.0,B,32.25,0.25,7007089,2025-08-25
RCL,2025-08-22,2025-08-22,26.75,26.75,2122258,27.25,26.75,0.0,B,27.0,0.25,1303376,2025-08-25
TFFIF,2025-08-21,2025-08-22,6.05,6.05,3035522,6.1,6.0,0.0,B,6.05,0.0,2378648,2025-08-25
WHAIR,2025-08-22,2025-08-22,5.4,5.4,283902,5.4,5.35,0.0,B,5.5,0.1,275470,2025-08-25
WHART,2025-08-14,2025-08-22,9.4,9.0,8544146,9.55,8.95,-4.26,B,9.05,0.05,787534,2025-08-25
