name,fm_date,to_date,fm_price,to_price,percent,qty,max_price,min_price,status,action
AIMIRT,2025-08-04,2025-08-04,9.85,9.8,-0.51,782936,9.9,9.55,S,Insert
DIF,2025-07-31,2025-08-04,8.15,8.2,0.61,10700886,8.2,8.15,B,Update
GVREIT,2025-07-31,2025-08-04,6.55,6.55,0.0,298973,6.6,6.55,B,Update
IVL,2025-08-01,2025-08-04,22.4,22.7,1.34,18228322,23.5,22.4,S,Update
JMT,2025-08-01,2025-08-04,10.6,10.5,-0.94,21710986,11.3,10.5,B,Update
MCS,2025-08-01,2025-08-04,8.3,8.35,0.6,137339,8.4,8.3,S,Update
NER,2025-08-04,2025-08-04,4.46,4.42,-0.9,48416097,4.56,4.22,S,Insert
PTG,2025-07-31,2025-08-04,6.75,6.55,-2.96,12571299,6.85,6.55,S,Update
SENA,2025-08-01,2025-08-04,1.77,1.74,-1.69,111484,1.82,1.72,B,Update
WHAIR,2025-08-01,2025-08-04,5.5,5.45,-0.91,407925,5.5,5.4,B,Update
WHART,2025-08-01,2025-08-04,9.3,9.2,-1.08,1089239,9.35,9.2,B,Update
