name,shares,unit_cost,cost_amt,mkt_price,mkt_amt,amt_rnk,cost_pct,mkt_pct,div_rnk,div_amt
GVREIT,75000,7.64,573000,6.9,517500,3,10.43,11.55,1,59760
DIF,35000,13.9,486500,8.05,281750,5,6.39,11.04,2,31108
SENA,105000,4.48,470400,2.24,235200,6,5.23,10.46,3,24591
MCS,81000,14.8,1198800,7.25,587250,2,4.73,9.66,4,56700
WHAIR,50000,8.7,435000,6,300000,4,6.39,9.26,5,27775
AIMIRT,12500,10.9,136250,10.7,133750,9,7.89,8.04,6,10750
NER,27000,7.45,201150,4.96,133920,8,4.83,7.26,7,9720
TFFIF,20000,7.5,150000,6.35,127000,10,6.03,7.12,8,9044
WHART,20000,12.3,246000,10.3,206000,7,5.31,6.34,9,13062
CPNREIT,55000,18,990000,12.3,676500,1,3.79,5.54,10,37499
