name,sell_year,sell_month,sell_price,buy_price,diff,qty,sell_amt,buy_amt,gross,pct,days
MCS,2025,8,8.4,7.3,1.1,6000,50400.0,43800.0,6600.0,15.07,187
CPF,2025,8,24.3,24.1,0.2,5000,121500.0,120500.0,1000.0,0.83,1
CPF,2025,8,24.3,24.1,0.2,4000,97200.0,96400.0,800.0,0.83,1
CPF,2025,8,24.3,24.1,0.2,4000,97200.0,96400.0,800.0,0.83,2
GVREIT,2025,8,6.7,6.1,0.6,6000,40200.0,36600.0,3600.0,9.84,686
RCL,2025,8,31.0,27.75,3.25,3000,93000.0,83250.0,9750.0,11.71,1023
JMART,2025,8,9.4,9.25,0.15,3200,30080.0,29600.0,480.0,1.62,1
ORI,2025,8,2.06,1.85,0.21,10000,20600.0,18500.0,2100.0,11.35,129
JMT,2025,8,11.6,10.5,1.1,2800,32480.0,29400.0,3080.0,10.48,79
NER,2025,8,4.52,3.9,0.62,5000,22600.0,19500.0,3100.0,15.9,44
ORI,2025,8,1.9,1.88,0.02,10000,19000.0,18800.0,200.0,1.06,1
