trade,name,qty,price,active,reason,market,xdate
B,3BBIF,10000,5.25,1,RD50Pct,SET,2025-02-18
B,AIMIRT,5000,10.2,1,RND05pct,SET,2025-03-05
B,CPNREIT,5000,10.8,0,RD40Pct,SET,2025-02-27
B,DIF,5000,7.5,0,RD45Pct,SET,2025-02-13
B,GVREIT,5000,6.2,0,RND20Pct,SET,2025-02-26
B,JMART,3200,8.95,0,RND75pct,SET50,2025-02-25
B,KCE,1000,14.0,0,RD80Pct,SET100,2025-03-24
B,MCS,5000,5.8,0,RD60Pct,SET,2025-04-18
B,NER,6000,4.7,0,RD40pct,SET,2025-04-24
B,RCL,3000,21.3,0,RD45pct,SET100,2025-03-12
B,SENA,7000,1.92,0,RD60pct,SET,2025-05-09
B,STA,2500,12.5,0,RD60Pct,SET100,2025-04-18
B,TFFIF,5000,6.0,1,RD20Pct,SET,2025-02-27
B,WHAIR,5000,4.3,0,RD50pct,SET,2025-03-03
S,AWC,9000,4.96,0,COS,SET50,2025-05-08
S,BCH,2000,21.7,0,COS,SET100,2025-05-02
S,PTG,3600,11.4,0,COS,SET100,2025-03-10
S,PTTGC,1000,30.0,0,RD60pct,SET50,2025-03-03
S,SYNEX,2000,28.7,0,RD70pct,SET,2025-04-30
S,TVO,4000,25.25,0,DTD,SET,2025-03-14
