trade,name,spd,reason,market,qty,target,current,change,%change,active,xdate
B,3BBIF,-9,RD50Pct,SET,10000,5.25,5.7,0.0,0.0,1,2025-02-18
B,AIMIRT,-3,RND05pct,SET,5000,10.2,10.5,-0.1,-0.943396,1,2025-03-05
B,CPNREIT,-17,RD40Pct,SET,5000,10.8,12.5,0.2,1.626016,0,2025-02-27
B,DIF,-12,RD45Pct,SET,5000,7.5,8.1,0.1,1.25,0,2025-02-13
B,GVREIT,-10,RND20Pct,SET,5000,6.2,6.7,-0.05,-0.740741,0,2025-02-26
B,JMART,-16,RND75pct,SET50,3200,8.95,9.75,-0.05,-0.510204,0,2025-02-25
B,KCE,-51,RD80Pct,SET100,1000,14.0,19.1,0.2,1.058201,0,2025-03-24
B,MCS,-30,RD60Pct,SET,5000,5.8,7.3,0.05,0.689655,0,2025-04-18
B,NER,-11,RD40pct,SET,6000,4.7,4.92,-0.02,-0.404858,0,2025-04-24
B,RCL,-23,RD45pct,SET100,3000,21.3,23.6,-0.2,-0.840336,0,2025-03-12
B,SENA,-14,RD60pct,SET,7000,1.92,2.12,-0.04,-1.851852,0,2025-05-09
B,STA,-25,RD60Pct,SET100,2500,12.5,15.0,0.1,0.671141,0,2025-04-18
B,TFFIF,-4,RD20Pct,SET,5000,6.0,6.2,0.0,0.0,1,2025-02-27
B,WHAIR,-49,RD50pct,SET,5000,4.3,5.7,0.0,0.0,0,2025-03-03
S,AWC,110,COS,SET50,9000,4.96,2.76,-0.02,-0.719424,0,2025-05-08
S,BCH,68,COS,SET100,2000,21.7,14.9,-0.4,-2.614379,0,2025-05-02
S,PTG,74,COS,SET100,3600,11.4,6.95,0.05,0.724638,0,2025-03-10
S,PTTGC,83,RD60pct,SET50,1000,30.0,18.7,0.0,0.0,0,2025-03-03
S,SYNEX,153,RD70pct,SET,2000,28.7,11.2,-0.5,-4.273504,0,2025-04-30
S,TVO,24,DTD,SET,4000,25.25,22.6,0.1,0.444444,0,2025-03-14
