trade,name,spd,reason,market,qty,target,current,change,%change,active,xdate
B,3BBIF,3,RD50Pct,SET,10000,5.25,5.1,0.0,0.0,1,2024-11-13
B,AIMIRT,-3,RND05pct,SET,5000,10.2,10.5,0.0,0.0,1,2024-11-26
B,CPNREIT,-14,RD40Pct,SET,5000,10.8,12.2,0.1,0.826446,0,2024-11-26
B,DIF,0,RD40Pct,SET,5000,8.3,8.3,0.05,0.606061,1,2024-11-14
B,GVREIT,-8,RND20Pct,SET,6000,6.25,6.65,0.0,0.0,1,2024-08-28
B,JMART,3,RND65pct,SET50,3200,11.2,10.9,-0.3,-2.678571,1,2024-09-30
B,KCE,11,RD70Pct,SET100,1000,22.8,21.7,-0.7,-3.125,0,2024-08-26
B,MCS,-11,RD50Pct,SET,5000,5.8,6.35,0.0,0.0,0,2024-08-23
B,NER,-7,RD40pct,SET,6000,4.7,4.84,-0.06,-1.22449,1,2024-08-23
B,SENA,-18,RD60pct,SET,7000,1.92,2.2,0.0,0.0,0,2024-05-10
B,TFFIF,-5,RD20Pct,SET,5000,6.0,6.25,-0.1,-1.574803,1,2024-12-12
B,WHAIR,-9,RD30pct,SET,5000,6.0,6.45,0.0,0.0,1,2024-11-21
S,AWC,91,COS,SET50,9000,4.96,3.14,-0.04,-1.257862,0,2024-05-09
S,BCH,72,COS,SET100,2000,21.7,14.5,-0.1,-0.684932,0,2024-08-29
S,JMT,205,COS,SET50,900,50.0,14.4,-0.5,-3.355705,0,2024-08-22
S,PTG,60,COS,SET100,3600,11.4,7.65,-0.15,-1.923077,0,2024-11-26
S,RCL,55,RD60pct,SET100,3000,38.75,25.0,-0.75,-2.912621,0,2024-11-21
S,SYNEX,-481,RD70pct,SET,2000,0.0,13.1,-0.1,-0.757576,0,2024-08-27
S,TVO,37,DTD,SET,4000,25.25,21.3,0.0,0.0,0,2025-03-13
S,WHART,20,COS,SET,10000,12.1,10.1,0.0,0.0,0,2024-11-25
