period,name,shares,date1,date2,price1,price2,change,%change,amount,spd
1,AH,1200,2024-12-30,2025-02-04,16.30,14.00,-2.30,-14.11,-2760.000000000001,-23
1,ASK,6000,2024-12-30,2025-02-04,10.30,8.35,-1.95,-18.93,-11700.000000000007,-36
1,ASP,30000,2024-12-30,2025-02-04,2.36,2.34,-0.02,-0.85,-600.0000000000006,-1
1,IVL,7200,2024-12-30,2025-02-04,24.90,23.10,-1.80,-7.23,-12959.99999999998,-18
1,ORI,50000,2024-12-30,2025-02-04,3.62,3.20,-0.42,-11.60,-20999.999999999996,-21
1,PTTGC,6000,2024-12-30,2025-02-04,24.40,20.10,-4.30,-17.62,-25799.99999999998,-43
1,SCC,600,2024-12-30,2025-02-04,168.00,147.50,-20.50,-12.20,-12300.0,-41
1,SINGER,6000,2024-12-30,2025-02-04,7.90,6.60,-1.30,-16.46,-7800.000000000005,-26
1,STA,10000,2024-12-30,2025-02-04,18.10,15.40,-2.70,-14.92,-27000.00000000001,-27
1,TMT,36000,2024-12-30,2025-02-04,3.14,3.06,-0.08,-2.55,-2880.0000000000027,-4
1,TOA,1000,2024-12-30,2025-02-04,15.00,12.10,-2.90,-19.33,-2900.0000000000005,-29
2,AIMIRT,12500,2024-12-30,2025-02-04,10.60,10.40,-0.20,-1.89,-2499.999999999991,-2
2,CPNREIT,55000,2024-12-30,2025-02-04,12.30,12.00,-0.30,-2.44,-16500.00000000004,-3
2,DIF,35000,2024-12-30,2025-02-04,8.60,8.40,-0.20,-2.33,-6999.999999999975,-4
2,GVREIT,60000,2024-12-30,2025-02-04,6.50,6.60,0.10,1.54,5999.999999999979,2
2,MCS,75000,2024-12-30,2025-02-04,6.70,6.10,-0.60,-8.96,-45000.00000000004,-12
2,NER,27000,2024-12-30,2025-02-04,4.62,4.84,0.22,4.76,5939.999999999994,11
2,SENA,105000,2024-12-30,2025-02-04,2.22,2.16,-0.06,-2.70,-6300.0000000000055,-3
2,TFFIF,20000,2024-12-30,2025-02-04,6.35,6.30,-0.05,-0.79,-999.9999999999965,-1
2,WHAIR,50000,2024-12-30,2025-02-04,6.50,6.30,-0.20,-3.08,-10000.00000000001,-4
2,WHART,20000,2024-12-30,2025-02-04,10.20,10.10,-0.10,-0.98,-1999.999999999993,-1
3,3BBIF,120000,2024-12-30,2025-02-04,5.20,5.40,0.20,3.85,24000.000000000022,4
3,JMART,6800,2024-12-30,2025-02-04,13.20,10.60,-2.60,-19.70,-17679.999999999996,-26
3,JMT,4200,2024-12-30,2025-02-04,18.20,14.40,-3.80,-20.88,-15959.999999999996,-38
3,KCE,10000,2024-12-30,2025-02-04,24.50,19.90,-4.60,-18.78,-46000.000000000015,-46
4,AWC,9000,2024-12-30,2025-02-04,3.52,3.10,-0.42,-11.93,-3779.9999999999995,-21
4,BCH,4000,2024-12-30,2025-02-04,15.30,14.00,-1.30,-8.50,-5200.000000000003,-13
4,PTG,3600,2024-12-30,2025-02-04,8.20,7.40,-0.80,-9.76,-2879.9999999999964,-16
4,RCL,27000,2024-12-30,2025-02-04,28.25,23.10,-5.15,-18.23,-139049.99999999997,-31
4,SYNEX,15000,2024-12-30,2025-02-04,15.40,12.20,-3.20,-20.78,-48000.000000000015,-32
4,TVO,4000,2024-12-30,2025-02-04,23.00,20.80,-2.20,-9.57,-8799.999999999996,-22
