name,shares,unit_cost,dividend,mkt_price,period,cost_amt,mkt_amt,div_amt,cost_pct,mkt_pct,pft_pct,div_rnk,amt_rnk
GVREIT,69000,7.75,0.8043,6.3,2,534750.0,434700.0,55496.7,10.38,12.77,-18.71,1.0,3.0
DIF,45000,12.7,0.8888,8.55,2,571500.0,384750.0,39996.0,7.0,10.4,-32.68,2.0,4.0
WHAIR,50000,8.7,0.5461,5.5,2,435000.0,275000.0,27305.0,6.28,9.93,-36.78,3.0,5.0
MCS,75000,15.312,0.75,8.5,2,1148400.0,637500.0,56250.0,4.9,8.82,-44.49,4.0,1.0
AIMIRT,17500,10.6,0.85,9.75,2,185500.0,170625.0,14875.0,8.02,8.72,-8.02,5.0,8.0
NER,27000,7.45,0.36,4.46,2,201150.0,120420.0,9720.0,4.83,8.07,-40.13,6.0,10.0
WHART,25000,11.6,0.692,9.0,2,290000.0,225000.0,17300.0,5.97,7.69,-22.41,7.0,6.0
TFFIF,20000,7.2,0.4532,5.9,2,144000.0,118000.0,9064.0,6.29,7.68,-18.06,8.0,11.0
CPNREIT,55000,18.0,0.7966,11.2,2,990000.0,616000.0,43813.0,4.43,7.11,-37.78,9.0,2.0
PTT,5000,31.5,2.1,31.5,2,157500.0,157500.0,10500.0,6.67,6.67,0.0,10.0,9.0
SENA,105000,4.48,0.1112,1.88,2,470400.0,197400.0,11676.0,2.48,5.91,-58.04,11.0,7.0
