name,price_d,price_w,percent,perform
ORI,2.26,2.38,-5.042016806722694,Worse
TVO,24.4,25.25,-3.366336633663372,Worse
TOA,14.6,15.1,-3.3112582781456954,Worse
NER,4.3,4.44,-3.1531531531531654,Worse
RCL,26.75,27.5,-2.727272727272727,Worse
AIMIRT,9.55,9.75,-2.051282051282044,Worse
WHART,9.0,9.15,-1.6393442622950858,Worse
AH,14.6,14.8,-1.3513513513513586,Worse
MCS,8.45,8.55,-1.1695906432748704,Worse
CPNREIT,11.4,11.5,-0.8695652173913012,Worse
PTT,32.0,32.25,-0.7751937984496124,Worse
GVREIT,6.4,6.45,-0.7751937984496096,Worse
TFFIF,6.05,6.05,0.0,No Change
JMT,11.4,11.4,0.0,No Change
STA,12.0,12.0,0.0,No Change
WHAIR,5.4,5.4,0.0,No Change
SINGER,5.25,5.25,0.0,No Change
DIF,8.2,8.15,0.6134969325153243,Better
3BBIF,6.2,6.15,0.8130081300812979,Better
BCH,13.4,13.2,1.5151515151515234,Better
SENA,1.86,1.83,1.6393442622950833,Better
CPF,24.3,23.8,2.1008403361344534,Better
JMART,8.35,8.15,2.453987730061341,Better
AWC,2.42,2.36,2.5423728813559343,Better
PTG,7.15,6.95,2.8776978417266212,Better
SYNEX,11.6,11.2,3.5714285714285747,Better
IVL,22.8,21.1,8.056872037914689,Better
SCC,223.0,205.0,8.780487804878048,Better
PTTGC,27.0,22.5,20.0,Better
