name,price_d,price_w,percent,perform
ASK,8.45,9.75,-13.333333333333341,Worse
TOA,12.9,14.5,-11.034482758620687,Worse
SYNEX,13.1,14.3,-8.391608391608399,Worse
PTTGC,21.5,23.3,-7.7253218884120205,Worse
RCL,25.0,27.0,-7.4074074074074066,Worse
AWC,3.14,3.36,-6.547619047619041,Worse
KCE,21.7,23.0,-5.652173913043481,Worse
SINGER,6.65,7.0,-4.999999999999995,Worse
JMART,10.9,11.2,-2.678571428571419,Worse
PTG,7.65,7.85,-2.5477707006369337,Worse
TFFIF,6.25,6.4,-2.3437500000000053,Worse
TVO,21.3,21.8,-2.2935779816513757,Worse
JMT,14.4,14.7,-2.040816326530605,Worse
BCH,14.5,14.8,-2.0270270270270316,Worse
TMT,2.96,3.02,-1.986754966887419,Worse
ORI,3.34,3.4,-1.764705882352943,Worse
DIF,8.3,8.4,-1.1904761904761862,Worse
STA,16.8,17.0,-1.17647058823529,Worse
MCS,6.35,6.4,-0.7812500000000111,Worse
WHAIR,6.45,6.5,-0.7692307692307665,Worse
AH,15.0,15.1,-0.6622516556291367,Worse
3BBIF,5.1,5.1,0.0,No Change
WHART,10.1,10.1,0.0,No Change
AIMIRT,10.5,10.5,0.0,No Change
SENA,2.2,2.2,0.0,No Change
CPNREIT,12.2,12.1,0.8264462809917326,Better
ASP,2.32,2.3,0.8695652173913052,Better
SCC,156.0,154.0,1.2987012987012987,Better
GVREIT,6.65,6.5,2.307692307692313,Better
NER,4.84,4.52,7.079646017699122,Better
IVL,23.6,21.9,7.762557077625584,Better
