number,video_id,title_modify,fm,to,min,dd_mmm,title_origin
1,jYoYCbhuWNk,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 1-2,1,2,33,25-Jul,สามก๊ก ฉบับนักบริหาร
2,QGPJ-baIsC4,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 3-4,3,4,26,26-Jul,สามก๊ก ฉบับนักบริหาร
3,XoCtgcjwTPQ,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 5-6,5,6,30,27-Jul,สามก๊ก ฉบับนักบริหาร
4,Srny3hSBno8,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 7-8,7,8,26,28-Jul,สามก๊ก ฉบับนักบริหาร
5,Bu1EyM1_IJU,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 9-10,9,10,27,29-Jul,สามก๊ก ฉบับนักบริหาร
6,0TUgEkGkKqQ,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 11-12,11,12,25,30-Jul,สามก๊ก ฉบับนักบริหาร
7,BR21jE9ArGA,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 13 -14,13,14,27,01-Aug,สามก๊ก ฉบับนักบริหาร
8,2eV3MwGycQ0,"อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 15-16",15,16,27,02-Aug,สามก๊ก ฉบับนักบริหาร
9,Q-lCHVQ5EWw,"อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 17-18",17,18,27,03-Aug,สามก๊ก ฉบับนักบริหาร
10,a3wahIDyhxI,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 19-20,19,20,27,04-Aug,สามก๊ก ฉบับนักบริหาร
11,r-U9-lnAHy0,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 21-22,21,22,28,05-Aug,สามก๊ก ฉบับนักบริหาร
12,ugl1TUMJgRQ,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 23-24,23,24,26,06-Aug,สามก๊ก ฉบับนักบริหาร
13,-c4HNS_eEcE,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 25-26,25,26,28,07-Aug,สามก๊ก ฉบับนักบริหาร
14,CqEdugrHd7Q,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 27-28,27,28,28,08-Aug,สามก๊ก ฉบับนักบริหาร
15,Io_NQjCANGA,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 29-30",29,30,28,09-Aug,สามก๊ก ฉบับนักบริหาร
16,dvZuas3OkLE,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 31-32",31,32,26,10-Aug,สามก๊ก ฉบับนักบริหาร
17,q2Mhqxbv9cY,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 33-34 ",33,34,29,11-Aug,สามก๊ก ฉบับนักบริหาร
18,vPEChdeGDP4,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 35-36",35,36,29,12-Aug,สามก๊ก ฉบับนักบริหาร
19,GPd0hANr4pc,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 37-38",37,38,29,13-Aug,สามก๊ก ฉบับนักบริหาร
20,h_03elWSdDo,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 39-40",39,40,30,14-Aug,สามก๊ก ฉบับนักบริหาร
21,mWc-zhd8ck4,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 41-42",41,42,29,15-Aug,สามก๊ก ฉบับนักบริหาร
22,O21VlFWOb3M,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 43-44",43,44,29,16-Aug,สามก๊ก ฉบับนักบริหาร
23,CuViSLtRXAc,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 45-46 ,45,46,28,17-Aug,สามก๊ก ฉบับนักบริหาร
